date,revenue,gross_profit,n_transactions,n_customers,n_products,avg_order_value,avg_discount,avg_quantity,recurring_rev,gp_margin,recurring_share,rev_per_customer,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_end,is_q4,days_in_month,days_to_quarter_end,days_to_holiday,near_holiday,sin_week,cos_week,sin_year,cos_year,roll_mean_7d,roll_std_7d,roll_mean_14d,roll_std_14d,roll_mean_28d,roll_std_28d,roll_mean_90d,roll_std_90d,lag_7d,lag_14d,lag_28d,lag_56d,momentum_7_28,ewm_14d,rev_consumer,rev_enterprise,rev_partner,rev_smb,rev_hardware,rev_services,rev_software,rev_support,rev_training
2022-01-01,1529.19,963.39,1,1,1,1529.19,0.0,1.0,0.0,0.63,0.0,1529.19,5,1,52,1,1,2022,1,1,0,0,0,31,89,2,1,-0.9749279121818236,-0.2225209339563146,0.017213356155834685,0.9998518392091162,,0.0,,0.0,,0.0,,0.0,,,,,1.0,,0.0,0.0,0.0,1529.19,0.0,0.0,1529.19,0.0,0.0
2022-01-02,21495.6,4766.38,2,2,2,10747.8,0.0,2.5,0.0,0.2217,0.0,10747.8,6,2,52,1,1,2022,1,0,0,0,0,31,88,1,1,-0.7818314824680299,0.6234898018587334,0.03442161162274574,0.9994074007397048,1529.19,0.0,1529.19,0.0,1529.19,0.0,1529.19,0.0,,,,,1.0,1529.19,0.0,13835.68,0.0,7659.92,0.0,13835.68,0.0,0.0,7659.92
2022-01-03,8429.54,4707.02,3,3,2,2809.846666666667,0.11666666666666665,2.6666666666666665,2028.48,0.5584,0.2406,2809.85,0,3,1,1,1,2022,0,0,0,0,0,31,87,0,1,0.0,1.0,0.051619667223253764,0.998666816288476,11512.394999999999,14118.383906950894,11512.394999999999,14118.383906950894,11512.394999999999,14118.383906950894,11512.394999999999,14118.383906950894,,,,,1.0,4191.378,1173.58,0.0,7255.96,0.0,6401.06,0.0,0.0,2028.48,0.0
2022-01-04,11982.64,3102.12,4,4,4,2995.66,0.0125,2.5,6921.469999999999,0.2589,0.5776,2995.66,1,4,1,1,1,2022,0,0,0,0,0,31,86,1,1,0.7818314824680298,0.6234898018587336,0.06880242680231986,0.9976303053065857,10484.776666666667,10140.630177115883,10484.776666666667,10140.630177115883,10484.776666666667,10140.630177115883,10484.776666666667,10140.630177115883,,,,,1.0,4756.466266666666,3061.44,0.0,0.0,8921.2,0.0,0.0,558.31,0.0,11424.33
2022-01-05,56005.04,27160.73,5,5,5,11201.008,0.02,2.0,33948.340000000004,0.485,0.6062,11201.01,2,5,1,1,1,2022,0,0,0,0,0,31,85,2,1,0.9749279121818236,-0.22252093395631434,0.08596479873744647,0.9962981749346078,10859.2425,8313.592418485023,10859.2425,8313.592418485023,10859.2425,8313.592418485023,10859.2425,8313.592418485023,,,,,1.0,5719.956097777778,22983.32,504.4,0.0,32517.32,22983.32,30767.370000000003,0.0,504.4,1749.95
2022-01-06,62537.79,20950.64,6,6,6,10422.965,0.016666666666666666,2.8333333333333335,51604.3,0.335,0.8252,10422.96,3,6,1,1,1,2022,0,0,0,0,0,31,84,3,1,0.43388373911755823,-0.900968867902419,0.10310169744743485,0.9946708199115211,19888.402,21435.145685479256,19888.402,21435.145685479256,19888.402,21435.145685479256,19888.402,21435.145685479256,,,,,1.0,12424.633951407408,0.0,2106.86,2146.0,58284.93,8573.79,40884.51,9740.31,3339.1800000000003,0.0
2022-01-07,10849.85,4824.67,4,4,4,2712.4625,0.0625,2.5,0.0,0.4447,0.0,2712.46,4,7,1,1,1,2022,0,0,0,0,0,31,83,4,0,-0.433883739117558,-0.9009688679024191,0.1202080448993527,0.9927487224577402,26996.63333333333,25898.53456424256,26996.63333333333,25898.53456424256,26996.63333333333,25898.53456424256,26996.63333333333,25898.53456424256,,,,,1.0,19106.388091219753,580.8,0.0,6455.46,3813.59,6455.46,0.0,3813.59,580.8,0.0
2022-01-08,34476.96,13321.84,6,6,5,5746.16,0.05833333333333333,3.3333333333333335,15617.169999999998,0.3864,0.453,5746.16,5,8,1,1,1,2022,1,0,0,0,0,31,82,5,0,-0.9749279121818236,-0.2225209339563146,0.13727877211326478,0.9905324521322229,24689.95,24417.014419211864,24689.95,24417.014419211864,24689.95,24417.014419211864,24689.95,24417.014419211864,1529.19,,,,1.0,18005.516345723787,8504.800000000001,0.0,1296.76,24675.399999999998,5288.77,11104.38,4512.79,0.0,13571.02
2022-01-09,24810.43,7719.01,3,3,3,8270.143333333333,0.016666666666666666,3.0,24810.43,0.3111,1.0,8270.14,6,9,1,1,1,2022,1,0,0,0,0,31,81,6,0,-0.7818314824680299,0.6234898018587334,0.15430882066428117,0.9880226656636976,29396.774285714284,22291.362138185465,25913.32625,22869.05559932644,25913.32625,22869.05559932644,25913.32625,22869.05559932644,21495.6,,,,1.1344,20201.708832960616,19574.01,0.0,0.0,5236.42,0.0,19574.01,1781.47,3454.95,0.0
2022-01-10,41833.649999999994,19256.42,3,3,3,13944.549999999997,0.049999999999999996,3.6666666666666665,41833.649999999994,0.4603,1.0,13944.55,0,10,2,1,1,2022,0,0,0,0,0,31,80,7,0,0.0,1.0,0.1712931441814776,0.9852201067560606,29870.321428571428,22130.165033247737,25790.78222222222,21395.201432871447,25790.78222222222,21395.201432871447,25790.78222222222,21395.201432871447,8429.54,,,,1.1582,20816.204988565867,20471.67,0.0,0.0,21361.98,21361.98,13796.06,0.0,0.0,6675.61
